Makeine: Too Many Losing Heroines! / Make Heroine ga Oosugiru!,The Dangers in My Heart Season 2 / Boku no Kokoro no Yabai Yatsu 2nd Season,Spice and Wolf: MERCHANT MEETS THE WISE WOLF / Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF,Pseudo Harem / Giji Harem,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?! / 30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii
0,0,0,0,0
4,0,5,0,0
4,3,4,3,3
0,0,0,0,0
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,5,5,0
5,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,5,0,0
0,0,2,5,0
0,0,0,0,0
5,0,0,3,0
2,2,2,2,2
4,5,5,1,3
3,5,3,5,0
5,3,4,1,2
4,5,0,0,0
5,4,0,3,0
4,2,1,2,5
0,0,0,0,3
5,4,4,5,3
0,0,5,0,0
3,3,5,3,3
1,3,3,2,2
0,0,5,0,0
0,0,0,0,0
0,0,0,0,0
3,0,5,0,0
4,0,0,3,0
3,3,3,3,3
2,2,2,2,2
0,0,0,0,0
0,0,5,0,0
3,4,2,5,3
3,4,5,2,3
0,0,0,0,0
0,0,5,0,0
0,0,5,0,0
0,0,0,0,0
1,1,5,1,1
0,0,0,0,0
5,0,4,3,0
0,0,0,0,0
4,5,3,0,0
0,0,4,0,0
4,3,5,2,1
5,4,2,5,2
0,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5,0,0
0,0,0,0,0
5,0,4,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,4,3,2,0
0,5,4,0,0
0,0,0,0,0
0,5,0,0,0
4,0,2,3,0
0,0,5,0,0
0,0,0,4,0
3,0,4,0,0
3,4,4,3,1
0,0,4,5,0
0,0,5,0,0
0,0,5,0,0
0,0,4,4,0
2,2,2,2,2
3,5,4,5,0
0,4,0,0,0
0,0,5,0,4
2,2,3,2,5
3,2,1,4,5
5,5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,4,0,5,0
5,0,0,2,0
0,0,0,0,0
0,0,3,0,0
5,0,4,1,0
5,0,0,0,0
