Oshi no Ko Season 2,The Apothecary Diaries / Kusuriya no Hitorigoto,Orb: On the Movements of the Earth / Chi.: Chikyuu no Undou ni Tsuite,BLUE LOCK Season 2,SHOSHIMIN: How to Become Ordinary
0,0,0,0,0
0,5,1,0,0
3,3,3,3,3
0,4,4,0,0
0,0,0,0,0
0,0,0,0,0
5,0,4,5,3
0,0,0,0,0
5,4,4,0,0
1,5,5,0,0
0,0,0,0,0
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
3,4,5,0,0
0,0,0,0,0
0,0,5,0,4
5,2,2,2,2
5,5,5,0,5
0,0,0,0,0
3,5,3,2,4
5,1,0,0,0
2,5,0,0,0
4,5,0,0,0
0,4,0,0,0
2,5,3,2,2
3,5,0,0,0
5,3,3,3,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,5,0
5,0,0,0,0
1,4,5,0,3
3,3,3,3,3
3,3,3,2,2
0,0,0,0,0
4,3,5,2,1
5,4,3,1,3
3,5,4,4,3
5,3,0,2,0
0,0,0,0,0
0,0,0,0,0
0,5,0,0,0
1,1,1,1,1
0,0,0,0,0
0,5,0,0,4
0,5,0,0,0
4,5,0,0,0
0,4,0,0,0
4,5,3,1,2
2,2,2,2,2
3,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
3,3,0,1,3
0,0,5,0,0
5,4,1,3,2
0,0,0,0,0
0,5,0,0,0
5,4,3,0,0
0,0,0,0,0
5,0,0,0,0
0,0,0,0,3
0,0,0,0,0
3,3,4,0,0
0,0,0,0,5
5,5,1,1,2
0,5,0,0,4
5,4,0,0,0
5,3,0,5,0
5,5,0,0,0
2,5,2,2,2
5,5,0,0,0
0,0,0,0,0
0,5,5,0,0
3,4,3,2,5
4,5,2,1,3
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
1,3,1,2,0
0,5,0,0,0
5,3,4,0,0
4,5,3,0,2
0,3,0,0,0
0,0,0,0,0
0,0,0,0,5
5,0,0,0,0
