Fuuka Izumi as Utena Hiiragi in Gushing Over Magical Girls (Japanese),Atsumi Tanezaki as Frieren in Frieren: Beyond Journey's End (Japanese),Aleks Le as Sung Jinwoo in Solo Levling (English),Saori Hayami as Rin Nanakura in Pseudo Harem (Japanese),Fairouz Ai as Yumiella Dolkness in Villainess Level 99 (Japanese)
0,0,0,0,0
0,5,0,0,0
3,5,3,3,3
0,0,0,0,0
5,0,0,0,0
0,0,0,0,0
5,0,0,0,5
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,5,2,0,4
0,1,0,0,0
0,4,0,0,0
1,3,0,5,4
0,0,0,0,0
5,3,0,4,0
2,5,2,2,2
5,4,3,4,3
3,0,0,5,0
0,0,0,0,0
5,0,5,0,0
0,3,0,5,3
5,5,0,1,5
0,4,3,0,0
4,3,5,5,3
0,5,1,0,0
5,5,3,3,3
0,0,0,0,0
0,0,0,0,0
1,4,3,1,1
0,0,0,0,0
0,5,5,0,0
0,0,0,0,0
3,3,3,3,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,5,3,4,3
3,5,4,4,4
0,0,0,0,0
0,5,0,0,0
5,0,0,0,0
0,0,0,0,0
1,1,5,1,1
0,0,0,0,0
0,0,0,5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,5,3,2,4
0,0,0,5,0
0,0,0,5,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,0,0,5,0
0,5,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,4,0
0,0,5,0,0
0,5,0,4,0
0,0,0,0,0
2,5,4,2,3
0,3,0,5,0
0,5,4,0,3
0,0,0,0,0
4,4,0,5,0
2,5,2,2,2
0,5,4,5,0
0,0,0,0,0
0,0,0,0,0
2,2,2,2,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,0,0,0
0,4,0,0,0
0,0,5,0,0
0,4,3,5,0
0,5,0,3,4
0,0,0,0,0
0,5,0,0,0
5,0,0,4,0
4,0,0,0,0
