Ruri Aoki from RuriDragon,Frieren from Frieren: Beyond Journey's End / Sousou no Frieren,Maomao from The Apothecary Diaries,Cid Kagenou from The Eminence in Shadow / Kage no Jitsuryokusha ni Naritakute!,Urumin (Moegi Urushibara) from The Useless Idol and Her Only Fan in the World / Damedol to Sekai ni Hitori Dake no Fan
0,5,4,0,0
0,0,0,0,0
0,5,3,0,4
1,5,5,0,0
5,0,0,0,0
3,2,2,5,4
5,4,5,2,1
4,1,3,2,1
0,0,0,0,0
0,5,0,0,0
2,4,1,5,3
3,4,5,0,0
0,0,0,0,0
2,3,2,5,5
0,5,3,4,0
0,5,4,0,0
4,4,5,2,3
0,0,0,0,0
5,4,3,4,4
0,5,4,0,0
2,3,4,5,2
5,5,4,5,0
4,0,0,0,0
