The Gals Who Always Say Insane Things: My Daily Life at a Private Paranormal High School / Shiretto Sugee Koto Itteru Gal. - Shiritsu Paranomaru Koukou no Nichijou,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",The Eminence in Shadow / Kage no Jitsuryokusha ni Naritakute!,"IseGure: After Constantly Being Used as a Foil for OP Isekai Protagonists, The Elite Knight Has Finally Had It / IseGure - Isekai Cheat Musou Ore TUEEE-kei Ikiri Tenseisha ni Kamaseinu ni sare Tsuzuketa Elite Kishi, Chou Gureru",Turns Out My Dick Was a Cute Girl / Ore no Kokan wa Bishoujo Datta no ka
0,0,0,0,0
0,0,0,0,0
4,0,0,0,3
4,5,0,4,5
0,0,0,0,1
3,2,5,3,4
4,1,2,3,0
2,0,3,0,5
3,4,5,2,0
0,0,0,0,0
4,4,5,4,4
1,1,1,1,0
0,0,4,0,0
2,2,5,2,3
0,4,5,0,0
0,0,0,0,0
2,4,3,0,5
0,0,0,0,0
3,2,4,3,3
0,0,0,0,0
2,4,5,2,2
3,0,5,4,1
0,0,0,0,3
