"Hayase Nagatoro & Naoto Hachiouji from Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san",Nazuna Nanakusa & Kou Yamori from Call of the Night / Yofukashi no Uta,Chinatsu Kano & Taiki Inomata from Blue Box / Ao no Hako,Mirai Misato & Shouko Taira from The Gals Who Always Say Insane Things: My Daily Life at a Private Paranormal High School / Shiretto Sugee Koto Itteru Gal. - Shiritsu Paranomaru Koukou no Nichijou,"Hakari Hanazono & Karane Inda from The 100 Girlfriends Who Really, Really, Really, Really, Really Love You"
0,0,0,0,0
5,5,0,0,0
4,3,0,3,0
0,0,0,4,5
5,5,0,0,0
4,0,0,5,3
1,2,2,4,2
5,4,0,0,0
0,0,0,0,0
5,0,0,0,0
4,5,4,4,4
5,4,0,0,0
0,0,0,0,0
3,5,2,2,2
0,0,0,0,5
0,0,0,5,4
0,3,0,1,4
0,0,0,0,0
5,5,3,4,4
0,0,0,0,0
2,2,5,2,2
2,2,0,3,1
3,4,0,0,0
