Category,Winner
Best Comedy,The Eminence in Shadow / Kage no Jitsuryokusha ni Naritakute!
2024 Manga of the Year,DAN DA DAN
Best Drama,The Apothecary Diaries / Kusuriya no Hitorigoto
Best Fantasy,Frieren: Beyond Journey's End / Sousou no Frieren
Best Duo: Romantic or Otherwise,"Hayase Nagatoro & Naoto Hachiouji from Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san"
Best Romance,"Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san"
Best Action,Chainsaw Man
Best Slice of Life,RuriDragon
Best Artwork,One Punch Man
Best Suspense,Mieruko-chan
Best Character,Frieren from Frieren: Beyond Journey's End / Sousou no Frieren
